Name,Rating,Cuisine,Discounts,Image URL,Link,Area,Detailed Cuisine
Nice Foods,4.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"10% off selected items, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/cglq-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/cglq/nice-foods-cglq,"House number B-293 in Sector 11-A North Karachi, Karachi","Burgers, Fast Food, Beverages, Middle Eastern, Shawarma"
Sufra By Shazia,5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"15% off Rs.199, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/qbes-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/qbes/sufra-by-shazia,"Plot B 319, Sector 11-A Sector 11 A North Karachi Township, Karachi","Desserts, Beverages, Pakistani, Nihari, Qeema"
AA-2 Food Center,3.7(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://images.deliveryhero.io/image/fd-pk/LH/xney-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/xney/aa-2-food-center,5c3 shop r14 north karachi ajmer nagri,"Pakistani, Biryani"
Home Kitchen,4.9(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,15% off selected items,https://images.deliveryhero.io/image/fd-pk/LH/oq45-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/oq45/home-kitchen-oq45,"National Atimad Bank , Sector 11 A North Karachi , Flat No C 402 ,  Block 3 , Gulshan-E-Safiya , Karachi , Sindh","Sandwiches, Chinese, Desserts, Burgers, Fast Food"
Faazu Paya Chanay,4(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://images.deliveryhero.io/image/fd-pk/LH/v7zg-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/v7zg/faazu-paya-chanay,House no R- 102 sector 7d/3 near shaheen ground North Karachi,"Beverages, Pakistani, Biryani"
AP Ka APNA Kitchen,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,20% off selected items,https://images.deliveryhero.io/image/fd-pk/LH/fskh-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/fskh/ap-ka-apna-kitchen,r 749 sacter 7d3 north karachi  gulshan farooqi masjid ke kreeb,"Beverages, Pakistani, Biryani"
The Cozy Cup,5(6)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Beverages,10% off,https://images.deliveryhero.io/image/fd-pk/LH/styc-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/styc/the-cozy-cup,Sector 7D3 north karachi near shaheen ground Gulshan e Farooq Masjid R929,Beverages
Mom's Foods,4.5(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://images.deliveryhero.io/image/fd-pk/LH/x7me-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/x7me/moms-foods-x7me,R 52 sector 7 D /2 north karachi near rakshinda school,"Chinese, Continental, Beverages, Pakistani, Biryani"
Umme Hani Hi Tea,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 10% off, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/v6hn-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/v6hn/umme-hani-hi-tea,"House # L855 Sector 4 North Karachi Near Ajmer Nagri Police Station, Karachi","Beverages, Wraps & Rolls, Pakistani, Paratha"
Tasty BiTe,4.1(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/sw3v-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/sw3v/tasty-bite-sw3v,"House No  R264, Sector 71 North Karachi","Burgers, Fast Food, Pakistani, Western, Biryani"
Delhi Masala House,4.2(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/p18y-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/p18y/delhi-masala-house,House no R_102 sector 7d/3 north karachi,"Fast Food, Pakistani, Biryani"
Lahori data kitchen,4.2(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 10% off, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/n1tt-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/n1tt/lahori-data-kitchen,"R-102 Sector 7d/3 , North Karachi Opposite 7 Diaz Burger","Sandwiches, Burgers, Fast Food, Wraps & Rolls, Pakistani"
Hasnain Pakwan Centre,4.5(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/smzc-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/smzc/hasnain-pakwan-centre,L-575 SECTOR-1 SURJANI,"Pakistani, Biryani"
AA2 Food Center,4.4(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://images.deliveryhero.io/image/fd-pk/LH/h8z1-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/h8z1/aa2-food-center,shop 5c3 R13 North Karchi,"Pakistani, Biryani"
Emaan's Kitchen,,,,https://images.deliveryhero.io/image/fd-pk/LH/miky-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/miky/emaans-kitchen-miky,D/1 R 27,
Qureshi Payee,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/w5ap-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/w5ap/qureshi-payee,R-102 shop no. 5 sector 7 / D -3 near shaheen ground north karachi,Pakistani
Daata kitchen,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off selected items,https://images.deliveryhero.io/image/fd-pk/LH/j4hj-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/j4hj/daata-kitchen,L-481 Sector 5C/3 North Karachi NEAR Hafeez Medicos,"Desserts, Beverages, Pakistani, Biryani, Paratha"
KARACHI DESI FOODS,4.3(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://images.deliveryhero.io/image/fd-pk/LH/j722-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/j722/karachi-desi-foods,House no R-102 sector 7d/3 near Shaheen ground North karachi,"Beverages, Pakistani, Biryani"
Ali Brunch Point ABP,4.3(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/d92p-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/d92p/ali-brunch-point-abp,House no L-856 sector 4 north karachi,"Sandwiches, Fast Food, Beverages, Pakistani, Western"
ALLAH WALA SHEERMAL HOUSE,4.8(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/g1vv/allah-wala-sheermal-house,"Flat haroon view apartment shop number B#27 main power chowrangi , North Karachi",Pakistani
Good Mood Food,4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vm2l/good-mood-food,Flat No C12 Abdullah Complex North Sector 5i 2 Min Chorangi Karach,"Burgers, Fast Food, Wraps & Rolls, Pakistani, Western"
KhauSey Town (North),4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vj9d/khausey-town-north,"House # R-37, 1st floor, Sector 7D/4, near Nazish Apartments, Anda Mor, North Karachi","Chinese, Burgers, Beverages, Pakistani, Western"
MashAllah BBC Broast,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n5xl/mashallah-bbc-broast,A/563 Sec 11/ A North Karachi Near Shell Petrol Pump Karachi,"Burgers, Fast Food, Pakistani, Western"
