Name,Rating,Cuisine,Discounts,Image URL,Link
Nice Foods,4.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"10% off selected items, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/cglq-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/cglq/nice-foods-cglq
Sufra By Shazia,5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"15% off Rs.199, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/qbes-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/qbes/sufra-by-shazia
AA-2 Food Center,3.7(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://images.deliveryhero.io/image/fd-pk/LH/xney-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/xney/aa-2-food-center
Home Kitchen,4.9(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,15% off selected items,https://images.deliveryhero.io/image/fd-pk/LH/oq45-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/oq45/home-kitchen-oq45
Faazu Paya Chanay,4(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://images.deliveryhero.io/image/fd-pk/LH/v7zg-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/v7zg/faazu-paya-chanay
AP Ka APNA Kitchen,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,20% off selected items,https://images.deliveryhero.io/image/fd-pk/LH/fskh-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/fskh/ap-ka-apna-kitchen
The Cozy Cup,5(6)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Beverages,10% off,https://images.deliveryhero.io/image/fd-pk/LH/styc-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/styc/the-cozy-cup
Mom's Foods,4.5(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://images.deliveryhero.io/image/fd-pk/LH/x7me-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/x7me/moms-foods-x7me
Umme Hani Hi Tea,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 10% off, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/v6hn-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/v6hn/umme-hani-hi-tea
Tasty BiTe,4.1(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/sw3v-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/sw3v/tasty-bite-sw3v
Delhi Masala House,4.2(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/p18y-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/p18y/delhi-masala-house
Lahori data kitchen,4.2(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 10% off, Free Delivery",https://images.deliveryhero.io/image/fd-pk/LH/n1tt-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/n1tt/lahori-data-kitchen
Hasnain Pakwan Centre,4.5(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/smzc-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/smzc/hasnain-pakwan-centre
AA2 Food Center,4.4(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://images.deliveryhero.io/image/fd-pk/LH/h8z1-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/h8z1/aa2-food-center
Emaan's Kitchen,,,,https://images.deliveryhero.io/image/fd-pk/LH/miky-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/miky/emaans-kitchen-miky
Qureshi Payee,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/w5ap-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/w5ap/qureshi-payee
Daata kitchen,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off selected items,https://images.deliveryhero.io/image/fd-pk/LH/j4hj-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/j4hj/daata-kitchen
KARACHI DESI FOODS,4.3(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://images.deliveryhero.io/image/fd-pk/LH/j722-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/j722/karachi-desi-foods
Ali Brunch Point ABP,4.3(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://images.deliveryhero.io/image/fd-pk/LH/d92p-listing.jpg?width=400&height=225,https://www.foodpanda.pk/restaurant/d92p/ali-brunch-point-abp
ALLAH WALA SHEERMAL HOUSE,4.8(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/g1vv/allah-wala-sheermal-house
Good Mood Food,4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vm2l/good-mood-food
KhauSey Town (North),4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vj9d/khausey-town-north
MashAllah BBC Broast,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n5xl/mashallah-bbc-broast
Big City Pizza - North Karachi,3.3(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/o1ul/big-city-pizza-north-karachi-o1ul
Agha Sajjad Juice Centre,4.8(42)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hrdz/agha-sajjad-juice-centre-hrdz
Karachi Fast Food & Chinese - NK,3.3(54)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,30% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/rxu1/karachi-fast-food-and-chinese-nk
Master Chef Caters,4.4(72)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/lq9g/master-chef-caters
Papas Zingeria,4.7(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"25% off Rs.199, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e21p/papas-zingeria
Food Pasand,4.3(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/oraq/food-pasand
Saas Bahu Ka Chatkhara,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gbfc/saas-bahu-ka-chatkhara
Burger Top,4.3(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/c9yj/burger-top
BurgerOlita,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"Up to 20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/q898/burgerolita
Pizza bake - North Karachi,4.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,50% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/iko1/pizza-bake-north-karachi
Allah Wala Biryani and Pakwan Center,4.7(86)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/z39g/allah-wala-biryani-and-pakwan-center
Kaybees Express,4.8(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/r2c9/kaybees-express
Qalandri Biryani center,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/j6i2/qalandri-biryani-center
Taste of Shazia,4.4(96)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/rmhk/taste-of-shazia
Al Saeedi Pakwan Centre,4.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w8wq/al-saeedi-pakwan-centre
Quetta al-rozi Hotel,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ayi1/quetta-al-rozi-hotel
Khatri Foods,,,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ccyu/khatri-foods
Tasty Biryani House,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t6ms/tasty-biryani-house-t6ms
Musfiyrah Food Corner,4.8(27)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/fyy4/musfiyrah-food-corner
Nice Bakers & Sweets,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hxig/nice-bakers-and-sweets
